Neptunian Script,Romanization,Pronunciation,Definition
YEFA,Yefa,/jˤeˈɸa/,Short punctuation [Single dot] (n)
YEF,Yev,/jˤeβ/,F (the letter) (n)
YEF,Yev,/jˤeβ/,Quiet (v)
YEKREIN,Yekrein,/jˤeˈkˤɾ̟ɛɪn̟/,Ukraine (n)
YEMNYAF,Yemnyav,/jˤemˈn̟jˤaβ/,Lose (a game or fight) (v)
YEN,Yen,/jˤen/,L (the letter) (n)
YENDEI,Yendei,/ˈjˤen̟ð̟ɛɪ/,Wednesday (n)
YEHEN,Yehen,/jˤeˈxˤen̟/,Shore (n)
YEHEN,Yehen,/jˤeˈxˤen̟/,South (n)
YEHPW,Yehpw,/jˤexˤˈpɯ/,Wing (n)
YEHFEN,Yehfen,/jˤexˤˈɸen̟/,"Lie, Rest (v)"
YEHRAM,Yehram,/jˤexˤˈɾ̟am/,"Stick, Branch (v)"
YEI,Yei,/jˤɛɪ/,Children (pl.n)
YEI,Yei,/jˤɛɪ/,Warm (v)
YEIPPWN,Yeippwn,/ˈjˤɛɪpːɯn̟/,White (v)
YA,Ya,/jˤa/,"Down, Backward, Less (n/adj)"
YA,Ya,/jˤa/,"Drop, Fall (v)"
YA,Ya,/jˤa/,R (the letter) (n)
YAFW,Yavw,/jˤaˈβɯ/,Lower arms (v)
YASA,Yasa,/ˈjˤaɕ̟a/,Russia (n)
YAGGW,Yanngw,/ˈjˤaŋˤːɯ/,Dive (v)
YAI,Yai,/jˤaɪ/,Laugh (v)
YAIPREPPAI,Yaipreppai,/jˤaɪˈpɾ̟epːaɪ/,Joke (n)
YAIS,Yais,/jˤaɪɕ̟/,Rice (n)
YH,Yh,/j̥ˤx̩ˤ/,Change (v)
YH,Yh,/j̥ˤx̩ˤ/,"Child, New, Young (n/adj)"
YH,Yh,/j̥ˤx̩ˤ/,Hand (n)
YHFENE,Yahvene,/jˤḁxˤˈβen̟e/,Goodnight
YHFW,Yahvw,/jˤḁxˤˈβɯ/,Switch (v)
YHF,Yahf,/jˤḁxˤɸ/,Close (v)
YHF,Yahf,/jˤḁxˤɸ/,"Difficult, Challenge (adj/n)"
YHFYEM,Yahvyem,/jˤḁxˤβˈjˤem/,Block (v)
YHFYENNE,Yahvyenne,/jˤḁxˤβˈjˤen̟ːe/,Curtain (v)
YHMEIN,Yahmein,/jˤḁxˤˈmɛɪn̟/,"Final, Finally (adj)"
YHMNYE,Yahmnye,/jˤḁxˤmˈn̟jˤe/,"Win, Success (v/n)"
YHMYE,Yahmye,/jˤḁxˤˈmjˤe/,Medium punct. [Double dot] (n)
YHM,Yahp,/j̥ˤḁxˤp/,Age (n)
YHM,Yahp,/j̥ˤḁxˤp/,"Stop, End (v)"
YHN,Yaht,/jˤḁxˤt̟/,Cut (n)
YHCI,Yhchi,/j̥ˤx̩ˤˈʨ̟i/,Baby (n)
YHCI,Yhchi,/j̥ˤx̩ˤˈʨ̟i/,Long punct. [Triple dot] (n)
YHG,Yhng,/j̥ˤx̩ˤŋ̥ˤ/,Neptune (n)
YHGPWN,Yhngpwn,/j̥ˤx̩ˤŋ̥ˤˈpɯn̟/,Blue-violet (adj)
YHGKW,Yhngkw,/j̥ˤx̩ˤŋ̥ˤˈkˤɯ/,Year by Neptune (n)
YHGNYEM,Yhngnyem,/j̥ˤx̩ˤŋ̥ˤˈn̟jˤem/,Neptune Island (n)
GI,Ngi,/ŋˤi/,"River, Row (n)"
GIFEI,Ngifei,/ŋˤiˈɸɛɪ/,"System, Estruary (n)"
GIK,Ngig,/ŋˤigˤ/,"Rivers, Rows (pl.n)"
GINYEMWN,Nginyemwn,/ŋˤiˈn̟jˤemɯn̟/,"Channel, Strait (n)"
GIRHKEI,Ngirhkei,/ŋˤiˈɾ̟x̩ˤkˤɛɪ/,Dam (n)
GICI,Ngichi,/ŋˤiˈʨ̟i/,Stream (n)
GIHEI,Ngihei,/ŋˤiˈxˤɛɪ/,Flood (n)
GW,Ngw,/ŋˤɯ/,Swim (v)
GWF,Ngwv,/ŋˤɯβ/,Fast (adj)
GWMPEN,Ngwmpen,/ŋˤɯmˈpen̟/,Blue-green (adj)
GWNEI,Ngwnei,/ŋˤɯˈn̟ɛɪ/,Pride (n)
GWN,Ngwn,/ŋˤɯn̟/,Like (v)
GWNYAF,Ngwnyav,/ŋˤɯˈn̟jˤaβ/,Pirate (n)
GWCEMGIN,Ngwchemgin,/ŋˤɯˈʨ̟emgˤin̟/,Wander (v)
SENEIN,Senein,,??????
